legislator_name,bioguide_id,fec_id
Sam Johnson,J000174,H2TX03118
Walter B. Jones,J000255,H2NC01081
Jim Jordan,J000289,H6OH04082
Marcy Kaptur,K000009,H2OH09031
William R. Keating,K000375,H0MA10082
Mike Kelly,K000376,H0PA03271
Ron Kind,K000188,H6WI03099
Peter T. King,K000210,H2NY03089
Steve King,K000362,H2IA05072
Adam Kinzinger,K000378,H0IL11052
Mark Kirk,K000360,H0IL10120
Mark Kirk,K000360,S0IL00261
John Kline,K000363,H8MN06047
Raúl R. Labrador,L000573,H0ID01253
Doug Lamborn,L000564,H6CO05159
Leonard Lance,L000567,H6NJ12136
Leonard Lance,L000567,H8NJ07124
James R. Langevin,L000559,H0RI02139
James Lankford,L000575,H0OK05114
Rick Larsen,L000560,H0WA02080
John B. Larson,L000557,H8CT01046
Robert E. Latta,L000566,H8OH05036
Patrick J. Leahy,L000174,S4VT00017
Barbara Lee,L000551,H8CA09060
Mike Lee,L000577,S0UT00165
Sander M. Levin,L000263,H2MI17023
John Lewis,L000287,H6GA05217
Daniel Lipinski,L000563,H4IL03077
Frank A. LoBiondo,L000554,H2NJ02037
David Loebsack,L000565,H6IA02146
Zoe Lofgren,L000397,H4CA16049
Billy Long,L000576,H0MO07113
Nita M. Lowey,L000480,H8NY20056
Frank D. Lucas,L000491,H4OK06056
Blaine Luetkemeyer,L000569,H8MO09153
Ben Ray Luján,L000570,H8NM03196
Cynthia M. Lummis,L000571,H8WY00148
Stephen F. Lynch,L000562,H2MA09072
Stephen F. Lynch,L000562,S0MA00083
Carolyn B. Maloney,M000087,H2NY14037
Kenny Marchant,M001158,H4TX24094
Tom Marino,M001179,H0PA10078
Edward J. Markey,M000133,H6MA07101
Edward J. Markey,M000133,S4MA00028
Doris O. Matsui,M001163,H6CA05195
John McCain,M000303,S6AZ00019
John McCain,M000303,P80002801
Kevin McCarthy,M001165,H6CA22125
Kevin McCarthy,M001165,H2CA23148
Michael T. McCaul,M001157,H4TX10093
Tom McClintock,M001177,H8CA04152
Tom McClintock,M001177,H6CA21135
Betty McCollum,M001143,H0MN04049
Jim McDermott,M000404,H8WA07132
James P. McGovern,M000312,H4MA03022
Patrick T. McHenry,M001156,H4NC10047
David B. McKinley,M001180,H0WV01072
Cathy McMorris Rodgers,M001159,H4WA05077
Jerry McNerney,M001166,H4CA11081
Patrick Meehan,M001181,H0PA07082
Gregory W. Meeks,M001137,H8NY06048
John L. Mica,M000689,H2FL08055
Barbara A. Mikulski,M000702,S6MD00140
Candice S. Miller,M001150,H6MI12181
Jeff Miller,M001144,H2FL01100
Gwen Moore,M001160,H4WI04183
Jerry Moran,M000934,H6KS01096
Jerry Moran,M000934,S0KS00091
Mick Mulvaney,M001182,H0SC05031
Lisa Murkowski,M001153,S4AK00099
Christopher Murphy,M001169,H6CT05124
Christopher Murphy,M001169,S2CT00132
Tim Murphy,M001151,H2PA18143
Patty Murray,M001111,S2WA00189
Jerrold Nadler,N000002,H2NY17071
Grace F. Napolitano,N000179,H8CA34068
Richard E. Neal,N000015,H8MA02041
Randy Neugebauer,N000182,H4TX19102
Kristi L. Noem,N000184,H0SD00054
Eleanor Holmes Norton,N000147,H0DC00058
Richard B. Nugent,N000185,H0FL05139
Devin Nunes,N000181,H8CA20059
Pete Olson,O000168,H8TX22107
Steven M. Palazzo,P000601,H0MS04120
